"","year_date","core_level"
"1","1993",1253.01294117647
"2","1994",1252.87125
"3","1995",1252.69142857143
"4","1996",1252.73842105263
"5","1997",1252.575
"6","1998",1252.35055555556
"7","1999",1252.803125
"8","2000",1252.50142857143
"9","2001",1252.795
"10","2002",1252.71454545455
"11","2003",1252.41772727273
"12","2004",1252.30454545455
"13","2005",1252.4765625
"14","2006",1252.19774193548
"15","2007",1252.13823529412
"16","2008",1252.66315789474
"17","2009",1252.65428571429
"18","2010",1252.57764705882
"19","2011",1252.85264705882
"20","2012",1252.62692307692
"21","2013",1252.47
"22","2014",1252.83689655172
"23","2015",1252.73272727273
"24","2016",1253.10125
"25","2017",1252.92
